,data,valor,inpc,Ano_mes_original,Ano_mes,seq_tempo
0,2018-07-01,0.25,3.5599999999999996,201807,201807,1.0
1,2018-08-01,0.0,3.59,201808,201808,2.0
2,2018-09-01,0.3,3.91,201809,201809,3.0
3,2018-10-01,0.4,3.94,201810,201810,4.0
4,2018-11-01,-0.25,3.51,201811,201811,5.0
5,2018-12-01,0.14,3.39,201812,201812,6.0
6,2019-01-01,0.36,3.52,201901,201901,7.0
7,2019-02-01,0.54,3.88,201902,201902,8.0
8,2019-03-01,0.77,4.58,201903,201903,9.0
9,2019-04-01,0.6,4.97,201904,201904,10.0
10,2019-05-01,0.15,4.69,201905,201905,11.0
11,2019-06-01,0.01,3.2699999999999996,201906,201906,12.0
12,2019-07-01,0.1,3.1199999999999997,201907,201907,13.0
13,2019-08-01,0.12,3.24,201908,201908,14.0
14,2019-09-01,-0.05,2.89,201909,201909,15.0
15,2019-10-01,0.04,2.53,201910,201910,16.0
16,2019-11-01,0.54,3.3200000000000003,201911,201911,17.0
17,2019-12-01,1.22,4.4,201912,201912,18.0
18,2020-01-01,0.19,4.2299999999999995,202001,202001,19.0
19,2020-02-01,0.17,3.86,202002,202002,20.0
20,2020-03-01,0.18,3.27,202003,202003,21.0
21,2020-04-01,-0.23,2.44,202004,202004,22.0
22,2020-05-01,-0.25,2.04,202005,202005,23.0
23,2020-06-01,0.3,2.33,202006,202006,24.0
24,2020-07-01,0.44,2.67,202007,202007,25.0
25,2020-08-01,0.36,2.91,202008,202008,26.0
26,2020-09-01,0.87,3.83,202009,202009,27.0
27,2020-10-01,0.89,4.680000000000001,202010,202010,28.0
28,2020-11-01,0.95,5.09,202011,202011,29.0
29,2020-12-01,1.46,5.33,202012,202012,30.0
30,2021-01-01,0.27,5.41,202101,202101,31.0
31,2021-02-01,0.82,6.06,202102,202102,32.0
32,2021-03-01,0.86,6.74,202103,202103,33.0
33,2021-04-01,0.38,7.3500000000000005,202104,202104,34.0
34,2021-05-01,0.96,8.56,202105,202105,35.0
35,2021-06-01,0.6,8.86,202106,202106,36.0
36,2021-07-01,1.02,9.44,202107,202107,37.0
37,2021-08-01,0.88,9.96,202108,202108,38.0
38,2021-09-01,1.2,10.29,202109,202109,39.0
39,2021-10-01,1.16,10.559999999999999,202110,202110,40.0
40,2021-11-01,0.84,10.45,202111,202111,41.0
41,2021-12-01,0.73,9.719999999999999,202112,202112,42.0
42,2022-01-01,0.67,10.12,202201,202201,43.0
43,2022-02-01,1.0,10.299999999999999,202202,202202,44.0
44,2022-03-01,1.71,11.149999999999999,202203,202203,45.0
45,2022-04-01,1.04,11.81,202204,202204,46.0
46,2022-05-01,0.45,11.299999999999999,202205,202205,47.0
47,2022-06-01,0.62,11.32,202206,202206,48.0
48,2022-07-01,-0.6,9.700000000000001,202207,202207,49.0
49,2022-08-01,-0.31,8.51,202208,202208,50.0
50,2022-09-01,-0.32,6.99,202209,202209,51.0
51,2022-10-01,0.47,6.300000000000001,202210,202210,52.0
52,2022-11-01,0.38,5.840000000000001,202211,202211,53.0
53,2022-12-01,0.69,5.8,202212,202212,54.0
54,2023-01-01,0.46,5.59,202301,202301,55.0
55,2023-02-01,0.77,5.36,202302,202302,56.0
56,2023-03-01,0.64,4.29,202303,202303,57.0
57,2023-04-01,0.53,3.7800000000000002,202304,202304,58.0
58,2023-05-01,0.36,3.69,202305,202305,59.0
59,2023-06-01,-0.1,2.97,202306,202306,60.0
