,data,valor,ipca,Ano_mes_original,Ano_mes,seq_tempo
0,2018-07-01,0.36,3.5,201807,201807,1.0
1,2018-08-01,0.31,3.5500000000000003,201808,201808,2.0
2,2018-09-01,0.28,3.59,201809,201809,3.0
3,2018-10-01,0.26,3.5100000000000002,201810,201810,4.0
4,2018-11-01,0.34,3.65,201811,201811,5.0
5,2018-12-01,0.38,3.5700000000000003,201812,201812,6.0
6,2019-01-01,0.47,3.76,201901,201901,7.0
7,2019-02-01,0.2,3.71,201902,201902,8.0
8,2019-03-01,0.33,3.7800000000000002,201903,201903,9.0
9,2019-04-01,0.37,3.94,201904,201904,10.0
10,2019-05-01,0.29,4.01,201905,201905,11.0
11,2019-06-01,0.2,3.79,201906,201906,12.0
12,2019-07-01,0.18,3.6100000000000003,201907,201907,13.0
13,2019-08-01,0.23,3.5300000000000002,201908,201908,14.0
14,2019-09-01,0.13,3.38,201909,201909,15.0
15,2019-10-01,0.18,3.3,201910,201910,16.0
16,2019-11-01,0.2,3.16,201911,201911,17.0
17,2019-12-01,0.39,3.17,201912,201912,18.0
18,2020-01-01,0.39,3.09,202001,202001,19.0
19,2020-02-01,0.25,3.1399999999999997,202002,202002,20.0
20,2020-03-01,0.25,3.0599999999999996,202003,202003,21.0
21,2020-04-01,0.1,2.79,202004,202004,22.0
22,2020-05-01,0.02,2.52,202005,202005,23.0
23,2020-06-01,0.14,2.46,202006,202006,24.0
24,2020-07-01,0.11,2.39,202007,202007,25.0
25,2020-08-01,0.13,2.29,202008,202008,26.0
26,2020-09-01,0.19,2.35,202009,202009,27.0
27,2020-10-01,0.34,2.5100000000000002,202010,202010,28.0
28,2020-11-01,0.34,2.65,202011,202011,29.0
29,2020-12-01,0.39,2.65,202012,202012,30.0
30,2021-01-01,0.4,2.6599999999999997,202101,202101,31.0
31,2021-02-01,0.38,2.7900000000000005,202102,202102,32.0
32,2021-03-01,0.35,2.8899999999999997,202103,202103,33.0
33,2021-04-01,0.4,3.1900000000000004,202104,202104,34.0
34,2021-05-01,0.57,3.74,202105,202105,35.0
35,2021-06-01,0.58,4.18,202106,202106,36.0
36,2021-07-01,0.58,4.6499999999999995,202107,202107,37.0
37,2021-08-01,0.68,5.2,202108,202108,38.0
38,2021-09-01,0.63,5.640000000000001,202109,202109,39.0
39,2021-10-01,0.84,6.140000000000001,202110,202110,40.0
40,2021-11-01,0.72,6.52,202111,202111,41.0
41,2021-12-01,0.89,7.02,202112,202112,42.0
42,2022-01-01,1.06,7.68,202201,202201,43.0
43,2022-02-01,0.94,8.24,202202,202202,44.0
44,2022-03-01,1.04,8.93,202203,202203,45.0
45,2022-04-01,1.01,9.54,202204,202204,46.0
46,2022-05-01,0.98,9.95,202205,202205,47.0
47,2022-06-01,0.97,10.34,202206,202206,48.0
48,2022-07-01,0.62,10.379999999999999,202207,202207,49.0
49,2022-08-01,0.64,10.34,202208,202208,50.0
50,2022-09-01,0.39,10.100000000000001,202209,202209,51.0
51,2022-10-01,0.46,9.72,202210,202210,52.0
52,2022-11-01,0.38,9.38,202211,202211,53.0
53,2022-12-01,0.49,8.98,202212,202212,54.0
54,2023-01-01,0.49,8.41,202301,202301,55.0
55,2023-02-01,0.48,7.95,202302,202302,56.0
56,2023-03-01,0.36,7.2700000000000005,202303,202303,57.0
57,2023-04-01,0.5,6.76,202304,202304,58.0
58,2023-05-01,0.49,6.2700000000000005,202305,202305,59.0
59,2023-06-01,0.11,5.41,202306,202306,60.0
