,seq_tempo,nascimentos
0,1.0,2986.0
1,2.0,2878.0
2,3.0,2813.0
3,4.0,2683.0
4,5.0,2594.0
5,6.0,2585.0
6,7.0,2639.0
7,8.0,2680.0
8,9.0,2643.0
9,10.0,3038.0
10,11.0,2901.0
11,12.0,2953.0
12,13.0,2872.0
13,14.0,5509.0
14,15.0,5334.0
15,16.0,5224.0
16,17.0,2639.0
17,18.0,2451.0
18,19.0,2477.0
19,20.0,2515.0
20,21.0,2463.0
21,22.0,3059.0
22,23.0,2947.0
23,24.0,3009.0
24,25.0,2752.0
25,26.0,5657.0
26,27.0,7716.0
27,28.0,7693.0
28,29.0,7451.0
29,30.0,6797.0
30,31.0,6920.0
31,32.0,5014.0
32,33.0,4580.0
33,34.0,5630.0
34,35.0,5376.0
35,36.0,6030.0
36,37.0,5284.0
37,38.0,5356.0
38,39.0,5136.0
39,40.0,5086.0
40,41.0,7738.0
41,42.0,7220.0
42,43.0,7412.0
43,44.0,5047.0
44,45.0,2273.0
45,46.0,2829.0
46,47.0,2549.0
47,48.0,2727.0
48,49.0,2428.0
49,50.0,2401.0
50,51.0,2255.0
51,52.0,1989.0
52,53.0,2027.0
53,54.0,2154.0
54,55.0,2362.0
55,56.0,2496.0
56,57.0,2292.0
57,58.0,2760.0
58,59.0,2760.0
59,60.0,2760.0
