,seq_tempo,obitos
0,1.0,1149.0
1,2.0,1118.0
2,3.0,2097.0
3,4.0,2059.0
4,5.0,2120.0
5,6.0,2017.0
6,7.0,2208.0
7,8.0,2145.0
8,9.0,1048.0
9,10.0,1150.0
10,11.0,1099.0
11,12.0,1186.0
12,13.0,1215.0
13,14.0,1195.0
14,15.0,2339.0
15,16.0,2138.0
16,17.0,2232.0
17,18.0,2016.0
18,19.0,2269.0
19,20.0,2318.0
20,21.0,1088.0
21,22.0,1269.0
22,23.0,1159.0
23,24.0,1295.0
24,25.0,1671.0
25,26.0,1897.0
26,27.0,2861.0
27,28.0,2413.0
28,29.0,2438.0
29,30.0,2338.0
30,31.0,2416.0
31,32.0,2423.0
32,33.0,1117.0
33,34.0,1658.0
34,35.0,1817.0
35,36.0,1889.0
36,37.0,1759.0
37,38.0,1404.0
38,39.0,1154.0
39,40.0,1085.0
40,41.0,2286.0
41,42.0,2177.0
42,43.0,2620.0
43,44.0,3307.0
44,45.0,1328.0
45,46.0,1125.0
46,47.0,1116.0
47,48.0,1163.0
48,49.0,1150.0
49,50.0,1342.0
50,51.0,1219.0
51,52.0,1181.0
52,53.0,1183.0
53,54.0,1075.0
54,55.0,1247.0
55,56.0,1082.0
56,57.0,1013.0
57,58.0,1135.0
58,59.0,1135.0
59,60.0,1135.0
