Município;08/13;09/13;10/13;11/13;12/13;01/14;02/14;03/14;04/14;05/14;06/14;07/14;08/14;09/14;10/14;11/14;12/14;01/15
280010 Amparo do São Francisco;1;1;0;3;3;5;1;4;2;1;2;1;2;2;1;3;1;0
280020 Aquidabã;17;11;15;13;16;13;10;12;17;17;22;16;12;12;16;9;14;11
280030 Aracaju;292;289;330;260;308;308;269;299;273;303;300;315;281;327;308;272;307;293
280040 Arauá;5;6;6;8;8;3;6;6;6;8;9;4;7;3;4;10;1;3
280050 Areia Branca;13;9;9;19;10;11;10;8;6;8;7;6;12;7;8;11;7;9
280060 Barra dos Coqueiros;15;10;12;18;14;10;18;13;21;16;13;18;12;14;21;10;16;15
280067 Boquim;19;10;17;15;11;9;18;7;10;16;12;15;29;10;17;10;12;20
280070 Brejo Grande;4;3;2;4;7;3;1;3;3;2;4;1;4;1;2;2;6;3
280100 Campo do Brito;11;8;11;7;9;7;8;12;6;18;9;9;11;19;6;5;12;9
280110 Canhoba;5;2;4;1;1;2;0;3;1;2;2;1;3;4;1;3;2;2
280120 Canindé de São Francisco;10;10;7;10;14;12;14;13;9;9;9;16;8;12;9;12;14;10
280130 Capela;16;14;22;17;15;20;19;13;20;20;20;22;18;20;24;19;12;25
280140 Carira;15;11;11;8;11;12;11;13;12;12;15;15;16;8;16;11;6;8
280150 Carmópolis;9;6;7;9;6;4;5;5;7;11;5;10;8;8;9;7;9;8
280160 Cedro de São João;8;5;1;2;7;6;3;4;0;5;5;1;4;3;8;4;8;3
280170 Cristinápolis;7;10;6;9;16;10;6;17;6;5;10;10;8;12;9;10;8;8
280190 Cumbe;0;1;8;1;0;3;1;2;3;2;1;3;0;1;2;2;1;2
280200 Divina Pastora;0;2;2;2;1;0;2;1;2;1;0;3;0;5;1;2;5;0
280210 Estância;44;28;39;37;38;34;21;34;38;38;39;34;40;33;31;36;35;28
280220 Feira Nova;2;2;4;3;4;2;6;1;4;3;4;6;1;7;6;6;2;3
280230 Frei Paulo;7;6;10;7;8;12;8;10;7;7;10;8;10;7;7;10;9;4
280240 Gararu;4;5;6;1;7;1;3;7;3;5;10;8;7;4;7;5;5;8
280250 General Maynard;1;2;0;2;3;0;0;1;1;3;2;1;2;0;4;1;0;1
280260 Gracho Cardoso;2;5;5;2;4;6;2;2;2;5;5;5;4;1;3;4;4;5
280270 Ilha das Flores;3;2;4;2;3;4;6;6;3;7;7;5;1;3;5;5;7;6
280280 Indiaroba;5;6;6;8;8;9;5;7;8;7;8;6;8;8;7;3;5;3
280290 Itabaiana;50;46;52;48;54;49;39;38;55;57;66;65;57;43;52;35;58;50
280300 Itabaianinha;14;22;14;15;19;17;18;9;26;24;20;20;16;20;13;14;23;13
280310 Itabi;2;2;3;3;3;3;1;3;1;8;4;2;4;2;4;1;5;2
280320 Itaporanga d'Ajuda;14;7;24;16;20;12;11;11;16;16;22;24;21;16;15;15;21;11
280330 Japaratuba;4;5;12;8;6;7;7;8;5;12;11;5;8;8;16;7;6;2
280340 Japoatã;11;11;10;7;7;2;8;7;3;5;10;12;9;9;4;6;9;10
280350 Lagarto;56;49;50;55;55;44;47;42;52;57;50;64;56;53;55;50;47;58
280360 Laranjeiras;17;12;22;17;18;15;5;19;15;13;10;10;7;9;15;11;6;13
280370 Macambira;1;2;5;3;5;4;4;5;2;3;2;3;5;4;5;4;3;6
280380 Malhada dos Bois;2;4;3;4;2;6;1;2;3;1;1;2;0;5;3;3;3;2
280390 Malhador;10;10;3;5;7;4;5;1;8;5;5;15;11;7;6;8;9;4
280400 Maruim;5;10;6;7;6;7;5;9;7;11;14;13;12;11;9;12;11;7
280410 Moita Bonita;5;7;8;9;4;3;12;6;3;11;6;8;11;7;7;5;7;5
280420 Monte Alegre de Sergipe;4;3;9;3;4;6;3;1;7;7;5;12;4;7;10;6;5;3
280430 Muribeca;4;2;2;3;7;0;4;2;5;3;6;5;8;0;7;0;3;2
280440 Neópolis;14;6;11;5;12;6;9;11;17;15;15;13;11;14;8;9;10;13
280445 Nossa Senhora Aparecida;5;7;4;7;2;4;1;2;5;5;4;5;7;4;4;4;2;4
280450 Nossa Senhora da Glória;20;12;18;15;11;18;8;11;10;24;14;21;13;19;11;13;9;20
280460 Nossa Senhora das Dores;12;11;16;11;11;11;15;12;10;6;14;14;12;11;10;23;9;15
280470 Nossa Senhora de Lourdes;2;4;2;3;1;6;4;3;2;2;4;4;2;6;2;1;8;5
280480 Nossa Senhora do Socorro;67;69;76;69;79;63;70;62;98;97;84;76;77;86;98;83;90;61
280490 Pacatuba;5;5;8;6;3;7;4;5;6;8;8;3;8;7;12;9;8;8
280500 Pedra Mole;2;2;3;1;2;1;1;1;1;0;2;3;1;0;1;3;0;3
280510 Pedrinhas;5;6;7;3;4;3;6;2;7;6;5;5;6;4;7;4;2;9
280520 Pinhão;4;3;6;3;2;2;3;2;1;4;5;2;1;1;1;2;1;3
280530 Pirambu;5;6;3;4;5;3;9;5;5;9;2;2;3;2;4;5;6;5
280540 Poço Redondo;14;3;11;12;10;16;15;12;18;18;12;11;13;13;9;8;16;14
280550 Poço Verde;10;12;15;19;13;9;20;13;10;12;13;16;18;13;11;14;20;9
280560 Porto da Folha;12;8;9;12;10;9;8;10;10;14;12;4;21;20;10;11;10;16
280570 Propriá;19;18;14;17;23;17;16;21;11;14;19;24;18;18;16;17;17;18
280580 Riachão do Dantas;13;7;11;16;9;8;6;11;12;8;10;10;9;12;10;6;6;8
280590 Riachuelo;6;2;4;2;2;7;7;2;4;5;8;10;8;3;5;2;2;4
280600 Ribeirópolis;11;6;14;13;10;12;12;9;14;21;13;10;10;14;10;15;11;8
280610 Rosário do Catete;8;2;7;7;6;4;4;0;2;7;8;3;2;6;7;4;2;5
280620 Salgado;10;8;7;16;15;8;12;6;8;4;6;8;12;8;13;12;12;8
280630 Santa Luzia do Itanhy;6;5;6;3;7;3;4;8;7;7;6;9;5;4;6;8;8;5
280640 Santana do São Francisco;5;4;3;3;4;3;4;3;5;6;1;2;3;2;2;5;2;2
280650 Santa Rosa de Lima;2;6;2;1;4;3;1;3;2;2;1;1;5;1;1;0;5;2
280660 Santo Amaro das Brotas;4;6;7;9;5;6;1;4;2;5;7;4;5;11;5;1;9;8
280670 São Cristóvão;38;47;42;35;37;40;40;42;50;46;42;48;50;58;53;52;34;37
280680 São Domingos;4;9;4;4;11;5;7;7;6;6;4;6;5;4;5;3;6;5
280690 São Francisco;4;2;6;0;2;1;2;2;0;5;3;1;1;2;0;2;2;4
280700 São Miguel do Aleixo;3;0;1;3;2;0;4;1;2;2;5;1;0;1;1;2;3;2
280710 Simão Dias;25;25;42;30;16;24;21;28;29;18;20;24;30;33;26;20;20;29
280720 Siriri;3;1;3;5;4;4;4;4;5;4;3;3;2;3;3;2;6;6
280730 Telha;2;3;1;0;1;1;3;2;2;1;1;2;0;0;3;3;3;5
280740 Tobias Barreto;36;27;26;32;14;31;25;28;27;27;20;31;28;30;15;31;35;31
280750 Tomar do Geru;5;7;7;1;7;8;8;8;7;5;7;8;3;7;4;5;5;5
280760 Umbaúba;10;16;6;13;4;14;8;13;12;11;17;10;14;10;16;13;14;3
