,Ano_mes,Benef_ativos,seq_tempo
0,201807,246453,1
1,201808,248614,2
2,201809,248004,3
3,201810,248431,4
4,201811,248650,5
5,201812,253497,6
6,201901,252388,7
7,201902,252587,8
8,201903,252165,9
9,201904,253481,10
10,201905,253705,11
11,201906,253634,12
12,201907,252969,13
13,201908,253679,14
14,201909,252044,15
15,201910,253952,16
16,201911,254248,17
17,201912,254550,18
18,202001,252815,19
19,202002,255096,20
20,202003,256680,21
21,202004,256401,22
22,202005,253243,23
23,202006,251943,24
24,202007,251355,25
25,202008,250733,26
26,202009,251226,27
27,202010,251595,28
28,202011,251848,29
29,202012,252891,30
30,202101,252868,31
31,202102,251098,32
32,202103,252513,33
33,202104,253697,34
34,202105,254521,35
35,202106,255312,36
36,202107,259866,37
37,202108,260674,38
38,202109,259954,39
39,202110,262190,40
40,202111,262743,41
41,202112,265266,42
42,202201,265308,43
43,202202,266362,44
44,202203,267434,45
45,202204,268582,46
46,202205,272517,47
47,202206,274448,48
48,202207,275024,49
49,202208,275169,50
50,202209,275456,51
51,202210,274346,52
52,202211,276053,53
53,202212,277185,54
54,202301,274874,55
55,202302,272173,56
56,202303,274011,57
57,202304,274970,58
58,202305,275266,59
59,202306,275914,60
