,seq_tempo,Benef_ativos,nascimentos,obitos,txdesemprego,ipca
0,1,246453,2986.0,1149.0,17.033333333333335,3.5
1,2,248614,2878.0,1118.0,17.266666666666666,3.5500000000000003
2,3,248004,2813.0,2097.0,17.5,3.59
3,4,248431,2683.0,2059.0,16.666666666666668,3.5100000000000002
4,5,248650,2594.0,2120.0,15.833333333333334,3.65
5,6,253497,2585.0,2017.0,15.0,3.5700000000000003
6,7,252388,2639.0,2208.0,15.166666666666666,3.76
7,8,252587,2680.0,2145.0,15.333333333333334,3.71
8,9,252165,2643.0,1048.0,15.5,3.7800000000000002
9,10,253481,3038.0,1150.0,15.433333333333334,3.94
10,11,253705,2901.0,1099.0,15.366666666666667,4.01
11,12,253634,2953.0,1186.0,15.3,3.79
12,13,252969,2872.0,1215.0,15.1,3.6100000000000003
13,14,253679,5509.0,1195.0,14.9,3.5300000000000002
14,15,252044,5334.0,2339.0,14.7,3.38
15,16,253952,5224.0,2138.0,14.733333333333333,3.3
16,17,254248,2639.0,2232.0,14.766666666666667,3.16
17,18,254550,2451.0,2016.0,14.8,3.17
18,19,252815,2477.0,2269.0,15.033333333333333,3.09
19,20,255096,2515.0,2318.0,15.266666666666667,3.1399999999999997
20,21,256680,2463.0,1088.0,15.5,3.0599999999999996
21,22,256401,3059.0,1269.0,16.933333333333334,2.79
22,23,253243,2947.0,1159.0,18.366666666666667,2.52
23,24,251943,3009.0,1295.0,19.8,2.46
24,25,251355,2752.0,1671.0,19.96666666666667,2.39
25,26,250733,5657.0,1897.0,20.133333333333333,2.29
26,27,251226,7716.0,2861.0,20.3,2.35
27,28,251595,7693.0,2413.0,19.533333333333335,2.5100000000000002
28,29,251848,7451.0,2438.0,18.766666666666666,2.65
29,30,252891,6797.0,2338.0,18.0,2.65
30,31,252868,6920.0,2416.0,18.966666666666665,2.6599999999999997
31,32,251098,5014.0,2423.0,19.933333333333334,2.7900000000000005
32,33,252513,4580.0,1117.0,20.9,2.8899999999999997
33,34,253697,5630.0,1658.0,20.3,3.1900000000000004
34,35,254521,5376.0,1817.0,19.7,3.74
35,36,255312,6030.0,1889.0,19.1,4.18
36,37,259866,5284.0,1759.0,18.400000000000002,4.6499999999999995
37,38,260674,5356.0,1404.0,17.7,5.2
38,39,259954,5136.0,1154.0,17.0,5.640000000000001
39,40,262190,5086.0,1085.0,16.166666666666668,6.140000000000001
40,41,262743,7738.0,2286.0,15.333333333333334,6.52
41,42,265266,7220.0,2177.0,14.5,7.02
42,43,265308,7412.0,2620.0,14.633333333333333,7.68
43,44,266362,5047.0,3307.0,14.766666666666667,8.24
44,45,267434,2273.0,1328.0,14.9,8.93
45,46,268582,2829.0,1125.0,14.166666666666666,9.54
46,47,272517,2549.0,1116.0,13.433333333333334,9.95
47,48,274448,2727.0,1163.0,12.7,10.34
48,49,275024,2428.0,1150.0,12.5,10.379999999999999
49,50,275169,2401.0,1342.0,12.299999999999999,10.34
50,51,275456,2255.0,1219.0,12.1,10.100000000000001
51,52,274346,1989.0,1181.0,12.033333333333333,9.72
52,53,276053,2027.0,1183.0,11.966666666666667,9.38
53,54,277185,2154.0,1075.0,11.9,8.98
54,55,274874,2362.0,1247.0,11.9,8.41
55,56,272173,2496.0,1082.0,11.9,7.95
56,57,274011,2292.0,1013.0,11.9,7.2700000000000005
57,58,274970,2760.0,1135.0,11.366666666666667,6.76
58,59,275266,2760.0,1135.0,10.833333333333334,6.2700000000000005
59,60,275914,2760.0,1135.0,10.3,5.41
